,fecha_del_hecho,dia,mes,año,dia_de_la_semana,hora_del_hecho,rango-hora,género,comuna/corregimiento,barrio/vereda,clase_de_sitio,modalidad,arma-medio,móvil_agresor,móvil_víctima,edad,rango-edad,conducta,marca_del_vehículo
0,01/01/2018,1,enero,"2,018",lunes,1:30,00:00 - 5:59,Masculino,9,VILLA MAGDALENA,VIAS PUBLICAS,Atraco,Arma blanca,A pie,A pie,21,20-24,Hurto a Personas,No aplica
1,01/01/2018,1,enero,"2,018",lunes,10:00,6:00 -11:59,Masculino,6,SANTA ISABEL,VIAS PUBLICAS,Atraco,Arma de fuego,Motocicleta,A pie,22,20-24,Hurto a Personas,No aplica
2,01/01/2018,1,enero,"2,018",lunes,0:30,00:00 - 5:59,Femenino,Corregimiento Fortalecillas,VEREDA EL VENADO,CASAS DE HABITACION,Raponazo,Sin empleo de arma,A pie,A pie,22,20-24,Hurto a Personas,No aplica
3,01/01/2018,1,enero,"2,018",lunes,9:30,6:00 -11:59,Masculino,1,RODRIGO LARA BONILLA,VIAS PUBLICAS,Raponazo,Sin empleo de arma,Motocicleta,Motocicleta,24,20-24,Hurto a Personas,No aplica
4,01/01/2018,1,enero,"2,018",lunes,2:00,00:00 - 5:59,Masculino,10,LA AMISTAD,VIAS PUBLICAS,Atraco,Arma de fuego,A pie,A pie,25,25-30,Hurto a Personas,No aplica
5,01/01/2018,1,enero,"2,018",lunes,4:00,00:00 - 5:59,Masculino,6,TORRES DE SAN TELMO,VIAS PUBLICAS,Atraco,Arma blanca,A pie,Motocicleta,28,25-30,Hurto a Personas,No aplica
6,01/01/2018,1,enero,"2,018",lunes,2:00,00:00 - 5:59,Masculino,10,CONJUNTO TORRES DE ALEJANDRIA,VIAS PUBLICAS,Atraco,Arma blanca,A pie,Vehículo,40,36-40,Hurto a Personas,No aplica
7,01/01/2018,1,enero,"2,018",lunes,7:45,6:00 -11:59,Masculino,6,JOSE ANTONIO GALAN,VIAS PUBLICAS,Atraco,Arma blanca,A pie,Motocicleta,49,46-50,Hurto a Personas,No aplica
8,01/01/2018,1,enero,"2,018",lunes,0:30,00:00 - 5:59,Masculino,8,SAN CARLOS,CASAS DE HABITACION,Atraco,Escopolamina,A pie,A pie,Sin dato,Sin dato,Hurto a Residencias,No aplica
9,01/01/2018,1,enero,"2,018",lunes,8:00,6:00 -11:59,Femenino,6,SANTA ISABEL,CASAS DE HABITACION,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Sin dato,Hurto a Residencias,No aplica
10,01/01/2018,1,enero,"2,018",lunes,19:00,18:00 -23:59,Masculino,10,ORO NEGRO,CASAS DE HABITACION,Violación cerraduras,Palanca,A pie,A pie,Sin dato,Sin dato,Hurto a Residencias,No aplica
11,01/01/2018,1,enero,"2,018",lunes,5:00,00:00 - 5:59,Sin dato,3,TENERIFE,"BARES, CANTINAS Y SIMILARES",Violación cerraduras,Palanca,A pie,A pie,Sin dato,Sin dato,Hurto a comercio,No aplica
12,01/01/2018,1,enero,"2,018",lunes,20:30,18:00 -23:59,Femenino,8,LAS AMERICAS,VIAS PUBLICAS,Halado,Sin empleo de arma,A pie,A pie,31,31-35,Hurto a motos,SUZUKI
13,02/01/2018,2,enero,"2,018",martes,9:00,6:00 -11:59,Masculino,6,TERMINAL,TERMINAL DE TRANSPORTES,Factor de oportunidad,Sin empleo de arma,A pie,A pie,30,25-30,Hurto a Personas,No aplica
14,02/01/2018,2,enero,"2,018",martes,16:00,12:00 -17:59,Femenino,1,LOS ANDAQUIES,VIAS PUBLICAS,Raponazo,Sin empleo de arma,Motocicleta,A pie,35,31-35,Hurto a Personas,No aplica
15,02/01/2018,2,enero,"2,018",martes,17:00,12:00 -17:59,Femenino,3,SEVILLA,VIAS PUBLICAS,Atraco,Arma blanca,Motocicleta,A pie,37,36-40,Hurto a Personas,No aplica
16,02/01/2018,2,enero,"2,018",martes,15:00,12:00 -17:59,Masculino,1,LA ESPERANZA,VIAS PUBLICAS,Atraco,Arma de fuego,A pie,A pie,48,46-50,Hurto a Personas,No aplica
17,02/01/2018,2,enero,"2,018",martes,4:50,00:00 - 5:59,Masculino,4,CENTRO,VIAS PUBLICAS,Atraco,Arma de fuego,A pie,A pie,52,51-55,Hurto a Personas,No aplica
18,02/01/2018,2,enero,"2,018",martes,11:30,6:00 -11:59,Femenino,7,LAS BRISAS,VIAS PUBLICAS,Atraco,Arma blanca,Motocicleta,A pie,57,56-60,Hurto a Personas,No aplica
19,02/01/2018,2,enero,"2,018",martes,9:20,6:00 -11:59,Masculino,3,SEVILLA,VIAS PUBLICAS,Raponazo,Sin empleo de arma,A pie,A pie,67,>61,Hurto a Personas,No aplica
20,02/01/2018,2,enero,"2,018",martes,20:30,18:00 -23:59,Masculino,3,SEVILLA,VIAS PUBLICAS,Halado,Llave maestra,A pie,A pie,26,25-30,Hurto a motos,BAJAJ
21,02/01/2018,2,enero,"2,018",martes,19:40,18:00 -23:59,Femenino,3,QUIRINAL,VIAS PUBLICAS,Halado,Sin empleo de arma,A pie,A pie,45,41-45,Hurto a motos,HONDA
22,03/01/2018,3,enero,"2,018",miércoles,20:30,18:00 -23:59,Masculino,6,SANTA ISABEL,SOBRE ANDEN - VIA PUBLICA,Atraco,Arma de fuego,Motocicleta,A pie,26,25-30,Hurto a Personas,No aplica
23,03/01/2018,3,enero,"2,018",miércoles,21:30,18:00 -23:59,Masculino,4,ESTADIO URDANETA,VIAS PUBLICAS,Atraco,Arma de fuego,Motocicleta,Vehículo,32,31-35,Hurto a Personas,No aplica
24,03/01/2018,3,enero,"2,018",miércoles,8:00,6:00 -11:59,Femenino,4,CENTRO,OFICINAS,Engaño,Sin empleo de arma,A pie,A pie,35,31-35,Hurto a Personas,No aplica
25,03/01/2018,3,enero,"2,018",miércoles,10:30,6:00 -11:59,Femenino,2,VILLA CECILIA,VIAS PUBLICAS,Atraco,Arma blanca,Motocicleta,A pie,36,36-40,Hurto a Personas,No aplica
26,03/01/2018,3,enero,"2,018",miércoles,16:45,12:00 -17:59,Masculino,Corregimiento El Caguán,VEREDA EL TRIUNFO,VIAS PUBLICAS,Rompimiento vidrio,Contundente,A pie,Vehículo,40,36-40,Hurto a Personas,No aplica
27,03/01/2018,3,enero,"2,018",miércoles,18:00,18:00 -23:59,Femenino,5,LA INDEPENDENCIA,VIAS PUBLICAS,Factor de oportunidad,Sin empleo de arma,Motocicleta,A pie,45,41-45,Hurto a Personas,No aplica
28,03/01/2018,3,enero,"2,018",miércoles,20:20,18:00 -23:59,Masculino,2,LAS GRANJAS,CENTRO COMERCIAL,Factor de oportunidad,Sin empleo de arma,A pie,A pie,55,51-55,Hurto a Personas,No aplica
29,03/01/2018,3,enero,"2,018",miércoles,1:00,00:00 - 5:59,Femenino,6,EL LIMONAR,CASAS DE HABITACION,Violación cerraduras,Palanca,A pie,A pie,Sin dato,Sin dato,Hurto a Residencias,No aplica
30,03/01/2018,3,enero,"2,018",miércoles,7:30,6:00 -11:59,Sin dato,5,LOS GUADUALES,ALMACENES,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Sin dato,Hurto a comercio,No aplica
31,03/01/2018,3,enero,"2,018",miércoles,13:15,12:00 -17:59,Sin dato,4,CENTRO,ALMACENES,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Sin dato,Hurto a comercio,No aplica
32,04/01/2018,4,enero,"2,018",jueves,16:00,12:00 -17:59,Femenino,10,EL OASIS,VIAS PUBLICAS,Raponazo,Arma blanca,A pie,A pie,22,20-24,Hurto a Personas,No aplica
33,04/01/2018,4,enero,"2,018",jueves,16:10,12:00 -17:59,Femenino,4,ALTICO,VIAS PUBLICAS,Factor de oportunidad,Sin empleo de arma,Motocicleta,Motocicleta,25,25-30,Hurto a Personas,No aplica
34,04/01/2018,4,enero,"2,018",jueves,19:20,18:00 -23:59,Femenino,6,CANAIMA,VIAS PUBLICAS,Atraco,Arma de fuego,A pie,A pie,28,25-30,Hurto a Personas,No aplica
35,04/01/2018,4,enero,"2,018",jueves,17:00,12:00 -17:59,Femenino,9,DARIO ECHANDIA,VIAS PUBLICAS,Atraco,Arma blanca,A pie,A pie,29,25-30,Hurto a Personas,No aplica
36,04/01/2018,4,enero,"2,018",jueves,18:50,18:00 -23:59,Masculino,9,EDUARDO SANTOS,INTERIOR VEHICULO SERVICIO PUBLICO,Atraco,Arma blanca,Pasajero de bus,Conductor de bus,38,36-40,Hurto a Personas,No aplica
37,04/01/2018,4,enero,"2,018",jueves,10:50,6:00 -11:59,Femenino,4,CENTRO,OFICINAS,Raponazo,Sin empleo de arma,A pie,A pie,45,41-45,Hurto a Personas,No aplica
38,04/01/2018,4,enero,"2,018",jueves,7:20,6:00 -11:59,Masculino,6,CANAIMA,CENTRO COMERCIAL,Factor de oportunidad,Sin empleo de arma,Motocicleta,A pie,46,46-50,Hurto a Personas,No aplica
39,04/01/2018,4,enero,"2,018",jueves,17:30,12:00 -17:59,Femenino,6,TIMANCO,FRENTE A COLEGIO - VIA PUBLICA,Raponazo,Sin empleo de arma,A pie,A pie,76,>61,Hurto a Personas,No aplica
40,04/01/2018,4,enero,"2,018",jueves,8:00,6:00 -11:59,Femenino,10,NEIVA YA,CASAS DE HABITACION,Factor de oportunidad,Sin empleo de arma,A pie,A pie,Sin dato,Sin dato,Hurto a Residencias,No aplica
